Cod_comp;Fecha;Demanda;Fotovoltaica
2022-08-18h05;2022-08-18;92.468;0
2022-08-18h06;2022-08-18;97.881;0
2022-08-18h07;2022-08-18;115.97;4.58688
2022-08-18h08;2022-08-18;262.803;24.1772
2022-08-18h09;2022-08-18;321.953;114.373
2022-08-18h10;2022-08-18;372.372;202.196
2022-08-18h11;2022-08-18;377.748;261.608
2022-08-18h12;2022-08-18;396.968;300.758
2022-08-18h13;2022-08-18;424.734;334.074
2022-08-18h14;2022-08-18;430.917;340.49
2022-08-18h15;2022-08-18;388.085;334.321
2022-08-18h16;2022-08-18;304.822;295.668
2022-08-18h17;2022-08-18;206.357;230.779
2022-08-18h18;2022-08-18;165.407;152.797
2022-08-18h19;2022-08-18;159.715;47.3906
2022-08-18h20;2022-08-18;123.53;0
2022-08-18h21;2022-08-18;128.638;0
2022-08-18h22;2022-08-18;111.949;0
2022-08-18h23;2022-08-18;108.471;0
2022-08-18h24;2022-08-18;111.702;0
2022-08-19h01;2022-08-19;108.05;0
2022-08-19h02;2022-08-19;106.853;0
2022-08-19h03;2022-08-19;106.14;0
2022-08-19h04;2022-08-19;104.21;0
2022-08-19h05;2022-08-19;102.18;0
2022-08-19h06;2022-08-19;110.012;0
2022-08-19h07;2022-08-19;134.225;5.18792
2022-08-19h08;2022-08-19;219.396;26.7974
2022-08-19h09;2022-08-19;249.78;116.721
2022-08-19h10;2022-08-19;294.171;208.642
2022-08-19h11;2022-08-19;349.024;264.893
2022-08-19h12;2022-08-19;407.667;307.625
2022-08-19h13;2022-08-19;424.721;341.007
2022-08-19h14;2022-08-19;413.928;351.565
2022-08-19h15;2022-08-19;357.278;337.01
2022-08-19h16;2022-08-19;251.493;291.596
2022-08-19h17;2022-08-19;149.331;232.056
2022-08-19h18;2022-08-19;123.924;148.844
2022-08-19h19;2022-08-19;119.101;42.4258
2022-08-19h20;2022-08-19;112.314;0
2022-08-19h21;2022-08-19;107.548;0
2022-08-19h22;2022-08-19;98.615;0
2022-08-19h23;2022-08-19;93.941;0
2022-08-19h24;2022-08-19;94.177;0
2022-08-23h01;2022-08-23;97.358;0
2022-08-23h02;2022-08-23;96.084;0
2022-08-23h03;2022-08-23;96.376;0
2022-08-23h04;2022-08-23;93.619;0
2022-08-23h05;2022-08-23;95.94;0
2022-08-23h06;2022-08-23;100.806;0
2022-08-23h07;2022-08-23;127.927;5.66492
2022-08-23h08;2022-08-23;261.52;30.7729
2022-08-23h09;2022-08-23;346.518;119.458
2022-08-23h10;2022-08-23;418.793;187.366
2022-08-23h11;2022-08-23;472.948;274.509
2022-08-23h12;2022-08-23;511.687;318.768
2022-08-23h13;2022-08-23;525.64;356.052
2022-08-23h14;2022-08-23;534.287;351.13
2022-08-23h15;2022-08-23;483.173;335.766
2022-08-23h16;2022-08-23;336.185;276.451
2022-08-23h17;2022-08-23;252.118;175.901
2022-08-23h18;2022-08-23;217.786;144.782
2022-08-23h19;2022-08-23;189.507;24.238
2022-08-23h20;2022-08-23;143.715;0
2022-08-23h21;2022-08-23;126.678;0
2022-08-23h22;2022-08-23;121.002;0
2022-08-23h23;2022-08-23;113.479;0
2022-08-23h24;2022-08-23;111.328;0
2022-08-24h01;2022-08-24;108.848;0
2022-08-24h02;2022-08-24;105.869;0
2022-08-24h03;2022-08-24;102.684;0
2022-08-24h04;2022-08-24;102.155;0
2022-08-24h05;2022-08-24;101.807;0
2022-08-24h06;2022-08-24;111.312;0
2022-08-24h07;2022-08-24;137.532;10.3839
2022-08-24h08;2022-08-24;282.27;54.8049
2022-08-24h09;2022-08-24;424.258;141.065
2022-08-24h10;2022-08-24;495.104;180.64
2022-08-24h11;2022-08-24;533.947;268.898
2022-08-24h12;2022-08-24;542.85;306.355
2022-08-24h13;2022-08-24;546.502;335.792
2022-08-24h14;2022-08-24;550.175;331.907
2022-08-24h15;2022-08-24;509.499;318.269
2022-08-24h16;2022-08-24;365.743;283.267
2022-08-24h17;2022-08-24;281.907;226.314
2022-08-24h18;2022-08-24;224.786;141.904
2022-08-24h19;2022-08-24;179.78;31.3083
2022-08-24h20;2022-08-24;125.106;0
2022-08-24h21;2022-08-24;111.792;0
2022-08-24h22;2022-08-24;105.908;0
2022-08-24h23;2022-08-24;98.723;0
2022-08-24h24;2022-08-24;100.173;0
2022-08-25h01;2022-08-25;96.856;0
2022-08-25h02;2022-08-25;97.011;0
2022-08-25h03;2022-08-25;98.029;0
2022-08-25h04;2022-08-25;96.626;0
2022-08-25h05;2022-08-25;96.474;0
2022-08-25h06;2022-08-25;103.69;0
2022-08-25h07;2022-08-25;130.845;6.92146
2022-08-25h08;2022-08-25;274.249;44.7965
2022-08-25h09;2022-08-25;402.446;110.983
2022-08-25h10;2022-08-25;423.731;201.22
2022-08-25h11;2022-08-25;448.646;262.105
2022-08-25h12;2022-08-25;489.907;300.285
2022-08-25h13;2022-08-25;498.253;320.201
2022-08-25h14;2022-08-25;503.825;320.806
2022-08-25h15;2022-08-25;491.517;311.204
2022-08-25h16;2022-08-25;333.242;275.433
2022-08-25h17;2022-08-25;248.422;217.718
2022-08-25h18;2022-08-25;185.087;135.494
2022-08-25h19;2022-08-25;146.584;28.8851
2022-08-25h20;2022-08-25;116.495;0
2022-08-25h21;2022-08-25;119.458;0
2022-08-25h22;2022-08-25;110.511;0
2022-08-25h23;2022-08-25;102.086;0
2022-08-25h24;2022-08-25;101.399;0
2022-08-26h01;2022-08-26;101.33;0
2022-08-26h02;2022-08-26;99.151;0
2022-08-26h03;2022-08-26;96.765;0
2022-08-26h04;2022-08-26;96.95;0
2022-08-26h05;2022-08-26;96.759;0
2022-08-26h06;2022-08-26;104.261;0
2022-08-26h07;2022-08-26;123.848;5.38503
2022-08-26h08;2022-08-26;251.464;28.4128
2022-08-26h09;2022-08-26;325.437;115.541
2022-08-26h10;2022-08-26;370.935;205.814
2022-08-26h11;2022-08-26;410.328;271.022
2022-08-26h12;2022-08-26;432.112;317.639
2022-08-26h13;2022-08-26;441.507;348.049
2022-08-26h14;2022-08-26;436.126;350.254
2022-08-26h15;2022-08-26;380.099;332.97
2022-08-26h16;2022-08-26;246.614;294.45
2022-08-26h17;2022-08-26;152.038;224.676
2022-08-26h18;2022-08-26;129.396;139.869
2022-08-26h19;2022-08-26;128.45;30.2326
2022-08-26h20;2022-08-26;118.713;0
